name,number,birth,position,height/weight,career,down_payment,salary,rank,year,image,team
 김민혁,No.53,1995년 11월 21일,외야수(우투좌타),181cm/71kg, 광주서석초-배재중-배재고-KT-상무,6000만원,15000만원,14 KT 2차 6라운드 56순위,14KT,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/64004.jpg,KT
 김범수,No.47,1995년 10월 03일,투수(좌투좌타),181cm/92kg, 온양온천초-온양중-북일고,20000만원,14100만원,15 한화 1차,15한화,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/65769.jpg,한화
 김상수,No.7,1990년 03월 23일,내야수(우투우타),175cm/68kg, 대구옥산초-경복중-경북고-삼성,28000만원,50000만원,09 삼성 1차,09삼성,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/79402.jpg,KT
 김서준,No.53,2003년 09월 01일,투수(우투우타),183cm/78kg, 희망대초-대원중-경기항공고,6000만원,3300만원,22 삼성 2차 5라운드 43순위,22삼성,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/52460.jpg,삼성
 김선기,No.49,1991년 09월 01일,투수(우투우타),186cm/98kg, 석교초-세광중-세광고-상무-히어로즈,,7300만원,18 넥센 2차 1라운드 8순위,09시애틀,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/66018.jpg,키움
 김선빈,No.3,1989년 12월 18일,내야수(우투우타),165cm/77kg, 화순초-화순중-화순고-KIA-상무,3000만원,45000만원,08 KIA 2차 6라운드 43순위,08KIA,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/78603.jpg,KIA
 김성욱,No.25,1993년 05월 01일,외야수(우투우타),181cm/83kg, 광주서림초-충장중-진흥고-NC-상무,7000만원,10000만원,12 NC 3라운드 32순위,12NC,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/62934.jpg,NC
 김성윤,No.39,1999년 02월 02일,외야수(좌투좌타),163cm/62kg, 창신초(부산진구리틀)-원동중-포항제철고,7000만원,4300만원,17 삼성 2차 4라운드 39순위,17삼성,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/67449.jpg,삼성
 김성진,No.34,1997년 11월 14일,투수(우투좌타),183cm/77kg, 율하초-포항제철중-부산정보고-계명대,7000만원,4500만원,21 키움 2차 3라운드 29순위,21키움,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/51301.jpg,키움
 김성현,No.6,1987년 03월 09일,내야수(우투우타),172cm/72kg, 송정동초-충장중-광주제일고-SK-상무-SK,7000만원,15000만원,06 SK 2차 3라운드 20순위,06SK,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/76802.jpg,SSG
 김수환,No.31,1998년 03월 20일,내야수(우투우타),180cm/91kg, 인천부일초(부평구리틀)-재능중-제물포고-히어로즈,6000만원,4500만원,18 넥센 2차 5라운드 48순위,18넥센,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/68346.jpg,키움
 김승현,No.24,1992년 07월 09일,투수(우투우타),180cm/105kg, 노암초-경포중-강릉고-건국대-삼성-상무-삼성,13000만원,4500만원,16 삼성 2차 1라운드 10순위,16삼성,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/66492.jpg,KIA
