이름,구단,연도,포지션,WAAwithADJ,이닝,RAAwithADJ,수비율,RNG,E+,CS,BLK,ARM
김재호,두산,2019,SS,1.36,993.1,13.15,0.98,7.07,1.14,0.0,0.0,0.0
양의지,두산,2018,C,0.965,861.2,11.0,0.996,-0.14,0.72,1.8,0.19,0.0
박세혁,두산,2019,C,0.833,1071.2,8.09,0.991,-0.03,-0.19,-1.51,0.9,0.0
허경민,두산,2018,3B,0.673,1048.1,7.55,0.978,3.98,1.56,0.0,0.0,0.0
박세혁,두산,2020,C,0.649,881.2,6.86,0.99,-0.45,-0.35,-1.62,1.32,0.0
정수빈,두산,2020,CF,0.64,1161.2,6.79,0.997,3.8,0.36,0.0,0.0,0.52
박세혁,두산,2022,C,0.622,884.0,5.98,0.993,-0.09,0.29,-0.99,-0.52,0.0
박세혁,두산,2021,C,0.591,575.1,5.88,0.993,-0.35,0.05,0.69,0.58,0.0
장승현,두산,2021,C,0.584,505.0,5.83,0.991,0.48,-0.05,1.25,-0.18,0.0
김재호,두산,2020,SS,0.533,960.2,5.65,0.97,0.13,0.28,0.0,0.0,0.0
김인태,두산,2021,RF,0.51,726.0,5.12,1.0,9.16,0.45,0.0,0.0,-0.73
정수빈,두산,2018,CF,0.479,214.2,5.38,0.979,5.84,-0.29,0.0,0.0,-0.59
정수빈,두산,2019,CF,0.476,1012.2,4.6,0.99,5.06,0.03,0.0,0.0,-2.17
김재호,두산,2021,SS,0.417,543.0,4.14,0.985,0.08,1.29,0.0,0.0,0.0
조수행,두산,2021,CF,0.412,276.0,4.15,0.99,4.35,-0.06,0.0,0.0,0.32
허경민,두산,2020,3B,0.4,987.0,4.28,0.971,0.83,1.22,0.0,0.0,0.0
강승호,두산,2022,2B,0.381,1005.2,3.68,0.976,2.77,-0.17,0.0,0.0,0.0
류지혁,두산,2018,SS,0.375,620.0,4.17,0.987,1.1,1.02,0.0,0.0,0.0
허경민,두산,2019,3B,0.364,1083.0,3.52,0.972,0.24,1.48,0.0,0.0,0.0
박세혁,두산,2018,C,0.345,421.1,3.86,0.994,0.14,0.2,0.06,0.06,0.22
김재호,두산,2022,SS,0.338,614.0,3.23,0.981,-0.88,1.2,0.0,0.0,0.0
강승호,두산,2021,2B,0.332,761.1,3.32,0.98,1.83,0.4,0.0,0.0,0.0
백동훈,두산,2019,RF,0.295,139.0,2.82,1.0,3.44,0.09,0.0,0.0,-0.37
김재호,두산,2018,SS,0.262,939.0,2.96,0.974,-3.11,0.62,0.0,0.0,0.0
정상호,두산,2020,C,0.241,223.1,2.5,0.99,1.09,-0.08,-0.51,0.01,0.0
박건우,두산,2019,RF,0.207,1002.1,2.04,0.988,7.79,0.19,0.0,0.0,-1.24
김인태,두산,2019,LF,0.2,160.0,1.92,1.0,3.56,0.1,0.0,0.0,-0.95
오재원,두산,2020,2B,0.197,367.2,2.08,0.976,1.65,-0.15,0.0,0.0,0.0
장승현,두산,2019,C,0.177,119.0,1.69,1.0,0.23,0.16,0.26,0.07,0.0
김대한,두산,2019,CF,0.176,52.0,1.68,0.957,1.13,-0.17,0.0,0.0,0.66
장승현,두산,2022,C,0.167,260.1,1.6,0.981,-0.12,-0.42,-0.17,0.17,0.0
오재원,두산,2018,2B,0.163,1026.0,1.84,0.973,1.28,-0.73,0.0,0.0,0.0
안승한,두산,2022,C,0.154,96.0,1.49,1.0,0.37,0.14,0.6,-0.41,0.0
이흥련,두산,2019,C,0.113,91.0,1.09,1.0,0.0,0.12,0.06,0.16,0.0
양찬열,두산,2020,RF,0.091,48.2,0.96,1.0,0.08,0.03,0.0,0.0,1.12
최용제,두산,2021,C,0.09,190.0,0.9,0.975,0.01,-0.52,-0.11,-0.11,0.0
정수빈,두산,2021,CF,0.083,731.2,0.83,0.996,-0.48,0.15,0.0,0.0,-0.1
최용제,두산,2020,C,0.068,116.1,0.72,0.965,0.04,-0.43,0.25,-0.12,0.0
백동훈,두산,2020,RF,0.06,55.0,0.64,0.955,0.98,-0.17,0.0,0.0,0.01
신성현,두산,2022,LF,0.06,49.2,0.57,0.882,0.61,-0.36,0.0,0.0,0.58
정병곤,두산,2019,2B,0.057,77.2,0.54,0.976,0.35,-0.0,0.0,0.0,0.0
박계범,두산,2021,SS,0.056,831.1,0.56,0.971,-2.67,0.5,0.0,0.0,0.0
김인태,두산,2020,LF,0.052,173.2,0.55,1.0,1.65,0.1,0.0,0.0,-0.25
전민재,두산,2018,2B,0.052,22.0,0.58,1.0,0.48,0.06,0.0,0.0,0.0
장승현,두산,2018,C,0.051,42.1,0.57,1.0,0.0,0.06,-0.03,0.13,0.0
이병휘,두산,2019,2B,0.037,28.2,0.36,0.923,0.44,-0.13,0.0,0.0,0.0
이유찬,두산,2020,3B,0.037,279.2,0.4,0.954,0.04,-0.4,0.0,0.0,0.0
김민혁,두산,2018,1B,0.033,49.1,0.36,1.0,0.66,0.09,0.0,0.0,0.0
장승현,두산,2020,C,0.027,62.1,0.29,1.0,0.0,0.09,-0.43,0.06,0.0
류지혁,두산,2019,SS,0.025,691.0,0.25,0.969,-1.02,-0.33,0.0,0.0,-0.12
국해성,두산,2021,RF,0.025,13.0,0.25,1.0,0.32,0.01,0.0,0.0,-0.02
전민재,두산,2019,3B,0.021,1.0,0.2,1.0,0.19,0.0,0.0,0.0,0.0
김경호,두산,2019,LF,0.02,74.0,0.19,1.0,0.61,0.04,0.0,0.0,-0.25
박건우,두산,2018,CF,0.014,966.2,0.15,0.996,2.4,0.33,0.0,0.0,-2.98
이병휘,두산,2018,2B,0.009,47.2,0.11,1.0,-0.16,0.13,0.0,0.0,0.0
이흥련,두산,2020,C,0.007,5.0,0.07,1.0,0.0,0.01,0.0,0.02,0.0
오명진,두산,2020,2B,0.004,4.0,0.04,1.0,0.02,0.01,0.0,0.0,0.0
이흥련,두산,2018,C,0.003,18.0,0.03,1.0,0.0,0.03,0.02,-0.18,0.0
이유찬,두산,2019,DH,0.002,5.0,0.02,1.0,0.0,0.01,0.0,0.0,0.0
최용제,두산,2022,C,0.001,1.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0
신성현,두산,2019,1B,0.001,115.1,0.01,0.978,0.33,-0.23,0.0,0.0,0.53
김민혁,두산,2021,1B,-0.001,3.0,-0.01,1.0,-0.0,0.01,0.0,0.0,0.0
서예일,두산,2020,2B,-0.004,96.2,-0.04,0.93,0.01,-0.33,0.0,0.0,0.0
안재석,두산,2022,SS,-0.006,577.0,-0.06,0.955,-1.66,-0.86,0.0,0.0,0.0
신성현,두산,2020,1B,-0.006,9.0,-0.07,1.0,0.0,0.01,0.0,0.0,0.0
오재원,두산,2022,2B,-0.007,79.2,-0.06,1.0,-0.03,0.19,0.0,0.0,0.0
국해성,두산,2018,RF,-0.009,43.0,-0.1,1.0,0.12,0.03,0.0,0.0,0.0
이승민,두산,2020,C,-0.01,2.0,-0.1,1.0,0.0,0.0,0.0,-0.12,0.0
서예일,두산,2019,3B,-0.01,15.1,-0.1,1.0,-0.17,0.04,0.0,0.0,0.0
박유연,두산,2019,C,-0.011,2.0,-0.11,1.0,0.0,0.0,0.0,-0.13,0.0
박유연,두산,2022,C,-0.014,32.0,-0.13,1.0,0.0,0.05,-0.18,-0.27,0.0
허경민,두산,2022,3B,-0.015,978.1,-0.14,0.964,-2.68,0.91,0.0,0.0,0.0
최원준,두산,2019,DH,-0.016,54.1,-0.16,0.9,-0.1,-0.08,0.0,0.02,0.0
황경태,두산,2021,2B,-0.018,4.0,-0.18,0.667,-0.0,-0.19,0.0,0.0,0.0
박지훈,두산,2020,1B,-0.019,8.0,-0.2,1.0,-0.18,0.02,0.0,0.0,0.0
양찬열,두산,2022,RF,-0.025,195.0,-0.24,0.979,1.27,-0.05,0.0,0.0,-0.49
박지훈,두산,2021,1B,-0.027,37.2,-0.27,1.0,-0.28,0.09,0.0,0.0,0.07
백동훈,두산,2021,CF,-0.028,10.1,-0.28,1.0,-0.33,0.01,0.0,0.0,0.04
서예일,두산,2021,3B,-0.034,10.0,-0.34,0.75,-0.2,-0.17,0.0,0.0,0.0
권민석,두산,2022,3B,-0.038,21.1,-0.36,1.0,-0.37,0.06,0.0,0.0,0.0
안권수,두산,2021,RF,-0.039,166.2,-0.39,1.0,0.65,0.1,0.0,0.0,-0.47
전민재,두산,2022,SS,-0.039,110.1,-0.38,0.966,-0.86,0.01,0.0,0.0,0.0
백동훈,두산,2018,RF,-0.05,69.2,-0.56,1.0,0.02,0.05,0.0,0.0,-0.34
조수행,두산,2020,RF,-0.058,132.2,-0.61,0.968,-0.07,-0.12,0.0,0.0,0.16
전민재,두산,2021,2B,-0.058,12.0,-0.59,0.833,-0.44,-0.17,0.0,0.0,0.0
안권수,두산,2020,LF,-0.06,140.2,-0.63,1.0,-0.93,0.08,0.0,0.0,0.8
반슬라이크,두산,2018,RF,-0.066,68.0,-0.72,0.944,0.28,-0.33,0.0,0.0,-0.19
양종민,두산,2018,2B,-0.069,35.1,-0.78,0.958,-0.64,-0.11,0.0,0.0,0.0
오명진,두산,2021,3B,-0.069,5.0,-0.7,1.0,-0.72,0.01,0.0,0.0,0.0
황경태,두산,2018,3B,-0.076,44.1,-0.85,0.952,-0.76,-0.09,0.0,0.0,0.0
김태근,두산,2022,CF,-0.077,16.1,-0.8,1.0,-0.83,0.01,0.0,0.0,-0.02
신성현,두산,2018,1B,-0.082,56.0,-0.9,0.98,-0.36,-0.1,0.0,0.0,0.0
파레디스,두산,2018,RF,-0.082,117.2,-0.89,0.978,-0.33,-0.1,0.0,0.0,0.29
권민석,두산,2021,2B,-0.082,54.0,-0.83,0.96,-0.71,-0.06,0.0,0.0,-0.0
강현구,두산,2022,LF,-0.085,11.2,-0.85,0.5,-0.2,-0.39,0.0,0.0,-0.2
홍성호,두산,2022,RF,-0.085,30.0,-0.82,1.0,-0.55,0.02,0.0,0.0,-0.17
박계범,두산,2022,3B,-0.086,394.2,-0.83,0.949,-1.48,-0.36,0.0,0.0,0.0
이우성,두산,2018,LF,-0.098,134.0,-1.1,0.971,0.42,-0.11,0.0,0.0,-0.63
강진성,두산,2022,1B,-0.099,178.2,-0.95,1.0,0.31,0.29,0.0,0.0,-0.23
페르난데스,두산,2020,1B,-0.1,191.2,-1.08,0.995,0.59,0.1,0.0,0.0,0.0
조수행,두산,2022,LF,-0.104,355.1,-1.0,1.0,0.43,0.25,0.0,0.0,-0.48
박건우,두산,2020,RF,-0.111,963.0,-1.19,0.992,2.29,0.17,0.0,0.0,1.21
최주환,두산,2019,2B,-0.115,522.0,-1.11,0.99,-2.32,0.59,0.0,0.0,0.0
이유찬,두산,2022,SS,-0.116,68.1,-1.12,0.897,-0.98,-0.36,0.0,0.0,-0.0
서예일,두산,2022,2B,-0.117,80.2,-1.12,0.919,-0.9,-0.37,0.0,0.0,0.0
오재원,두산,2019,2B,-0.126,484.0,-1.22,0.976,-1.69,-0.3,0.0,0.0,0.0
오재원,두산,2021,2B,-0.132,168.0,-1.32,0.983,-2.02,0.0,0.0,0.0,0.83
신성현,두산,2021,3B,-0.139,30.0,-1.4,1.0,-1.39,0.08,0.0,0.0,0.0
류지혁,두산,2020,3B,-0.144,76.1,-1.55,0.912,-1.37,-0.38,0.0,0.0,0.0
국해성,두산,2019,RF,-0.157,80.0,-1.52,0.905,-0.02,-0.34,0.0,0.0,-0.75
페르난데스,두산,2019,1B,-0.158,117.0,-1.57,0.973,-0.19,-0.39,0.0,0.0,0.0
정진호,두산,2018,RF,-0.168,635.0,-1.87,1.0,1.54,0.43,0.0,0.0,-0.55
최주환,두산,2018,2B,-0.192,266.1,-2.19,0.983,-1.72,0.03,0.0,0.0,0.0
페르난데스,두산,2022,1B,-0.198,243.0,-1.92,0.992,0.04,0.07,0.0,0.0,0.0
김대한,두산,2022,RF,-0.204,273.1,-1.98,1.0,-1.08,0.21,0.0,0.0,-0.08
김인태,두산,2018,RF,-0.205,209.1,-2.29,0.98,0.15,-0.07,0.0,0.0,-1.18
김민혁,두산,2022,1B,-0.211,126.1,-2.07,0.983,-0.8,-0.15,-0.06,-0.24,0.0
정진호,두산,2019,RF,-0.218,271.1,-2.1,1.0,-1.13,0.18,0.0,0.0,-0.33
조수행,두산,2018,CF,-0.229,487.1,-2.55,0.993,-0.29,0.09,0.0,0.0,-1.38
정수빈,두산,2022,CF,-0.266,979.2,-2.56,0.997,-4.31,0.44,0.0,0.0,-0.3
안권수,두산,2022,RF,-0.274,511.2,-2.66,0.946,1.08,-1.01,0.0,0.0,-1.06
안재석,두산,2021,SS,-0.295,481.1,-2.97,0.947,-4.07,-0.91,0.0,0.0,0.0
최주환,두산,2020,2B,-0.302,1059.0,-3.24,0.983,-4.52,0.48,0.0,0.0,0.0
페르난데스,두산,2021,1B,-0.307,140.0,-3.13,0.974,-1.57,-0.34,0.0,0.0,0.0
송승환,두산,2022,LF,-0.342,60.0,-3.37,1.0,-2.41,0.04,0.0,0.0,-0.69
박건우,두산,2021,RF,-0.344,933.0,-3.52,0.996,0.52,0.35,0.0,0.0,-2.02
김재환,두산,2019,LF,-0.354,1010.0,-3.46,1.0,1.68,0.52,0.0,0.0,-0.58
권민석,두산,2020,3B,-0.385,163.2,-4.09,0.966,-4.46,0.06,0.0,0.0,0.0
국해성,두산,2020,RF,-0.45,166.0,-4.78,0.975,-4.15,-0.1,0.0,0.0,0.39
오재일,두산,2018,1B,-0.453,939.2,-5.11,0.996,3.27,0.7,0.0,0.0,0.0
김인태,두산,2022,RF,-0.528,490.0,-5.13,0.982,-0.41,-0.03,0.0,0.0,-2.32
허경민,두산,2021,3B,-0.55,984.2,-5.55,0.969,-8.72,1.47,0.0,0.0,0.0
김재환,두산,2022,LF,-0.832,825.2,-8.15,0.985,-1.86,-0.06,0.0,0.0,-2.07
양석환,두산,2021,1B,-0.927,1014.1,-9.42,0.991,-0.89,0.31,0.0,0.0,0.0
오재일,두산,2020,1B,-1.008,927.1,-10.86,0.997,-3.16,0.86,0.0,0.0,0.0
오재일,두산,2019,1B,-1.016,1044.0,-10.02,0.996,-2.26,1.06,0.0,0.0,0.0
양석환,두산,2022,1B,-1.149,685.0,-11.2,0.986,-4.78,-0.69,0.0,0.0,0.0
김재환,두산,2018,LF,-1.171,926.2,-13.5,0.979,-10.58,-0.05,0.0,0.0,2.61
김재환,두산,2021,LF,-1.434,948.0,-14.75,0.981,-6.09,-0.37,0.0,0.0,-3.27
김재환,두산,2020,LF,-1.462,1014.2,-15.84,0.992,-8.69,0.17,0.0,0.0,-1.67
박해민,삼성,2020,CF,1.683,1055.1,17.72,1.0,16.79,0.55,0.0,0.0,-1.13
박해민,삼성,2019,CF,1.332,1162.1,12.74,0.995,11.54,0.35,0.0,0.0,-0.9
김상수,삼성,2018,SS,1.112,989.0,12.24,0.966,6.66,-0.02,0.0,0.0,0.0
김헌곤,삼성,2019,LF,0.921,970.0,8.86,1.0,9.21,0.51,0.0,0.0,3.59
강민호,삼성,2020,C,0.894,862.2,9.53,0.988,-1.17,-0.37,1.95,1.25,0.0
강민호,삼성,2022,C,0.822,714.1,7.93,0.993,0.03,0.24,0.56,1.19,0.0
강민호,삼성,2021,C,0.819,934.0,8.29,0.992,-0.45,-0.01,-0.3,0.95,0.0
강민호,삼성,2019,C,0.769,842.0,7.43,0.989,-0.46,-0.49,0.22,1.19,0.0
강민호,삼성,2018,C,0.756,857.2,8.43,0.99,-0.71,-0.28,-0.2,1.43,0.0
박해민,삼성,2021,CF,0.718,1004.1,7.24,0.997,7.01,0.3,0.0,0.0,-1.65
김태군,삼성,2022,C,0.607,390.0,5.85,0.997,0.56,0.37,1.47,0.23,0.0
박해민,삼성,2018,CF,0.509,1200.2,5.69,0.994,3.5,0.24,0.0,0.0,-0.33
김성훈,삼성,2018,2B,0.42,499.0,4.66,0.984,2.19,0.66,0.0,0.0,0.0
이학주,삼성,2020,SS,0.404,483.1,4.24,0.985,0.98,0.65,0.0,0.0,0.0
구자욱,삼성,2020,LF,0.37,835.0,3.95,0.991,6.84,0.08,0.0,0.0,1.62
김상수,삼성,2021,2B,0.37,1039.0,3.67,0.98,1.59,0.31,0.0,0.0,0.0
김상수,삼성,2019,2B,0.353,993.0,3.43,0.983,1.5,0.27,0.0,0.0,0.0
구자욱,삼성,2021,RF,0.338,1085.0,3.44,0.988,4.63,0.12,0.0,0.0,4.37
이지영,삼성,2018,C,0.326,389.1,3.65,0.99,0.5,-0.2,-0.95,0.56,0.0
박승규,삼성,2022,CF,0.316,200.0,3.02,1.0,3.41,0.14,0.0,0.0,-0.38
박승규,삼성,2020,RF,0.278,440.0,2.92,1.0,3.01,0.24,0.0,0.0,0.86
김지찬,삼성,2021,SS,0.223,762.1,2.23,0.948,-0.08,-1.06,0.0,0.0,0.0
김도환,삼성,2019,C,0.222,299.2,2.14,0.995,0.37,0.19,-0.49,-0.41,0.0
김지찬,삼성,2020,2B,0.213,656.2,2.24,0.971,0.54,-0.33,0.0,0.0,0.04
김응민,삼성,2020,C,0.196,212.1,2.05,0.989,0.17,-0.1,-0.16,0.23,0.0
안주형,삼성,2022,2B,0.195,55.0,1.84,1.0,1.6,0.15,0.0,0.0,0.0
강한울,삼성,2018,2B,0.194,501.2,2.15,0.985,0.65,0.54,0.0,0.0,0.0
박승규,삼성,2021,LF,0.174,165.2,1.73,1.0,2.79,0.08,0.0,0.0,-0.71
김민수,삼성,2021,C,0.155,201.1,1.56,0.984,-0.1,-0.3,0.68,-0.45,0.0
김재성,삼성,2022,C,0.133,171.2,1.3,0.986,0.38,-0.15,-0.19,-0.18,0.0
김민수,삼성,2019,C,0.113,104.1,1.08,1.0,0.15,0.14,0.06,-0.12,0.0
박승규,삼성,2019,CF,0.109,62.0,1.04,1.0,1.14,0.04,0.0,0.0,-0.06
김민수,삼성,2020,C,0.1,68.0,1.04,1.0,0.14,0.1,0.11,0.09,0.0
김헌곤,삼성,2020,RF,0.097,615.0,1.02,0.995,2.41,0.16,0.0,0.0,1.61
이원석,삼성,2018,3B,0.095,1012.2,1.07,0.971,-1.33,1.0,0.0,0.0,0.0
조동찬,삼성,2018,1B,0.086,79.0,0.95,1.0,1.42,0.14,0.0,0.0,0.0
김호재,삼성,2020,3B,0.085,315.0,0.9,0.964,0.03,0.11,0.0,0.0,0.0
윤정빈,삼성,2022,RF,0.072,20.0,0.68,1.0,0.64,0.02,0.0,0.0,0.14
최선호,삼성,2019,LF,0.067,28.0,0.64,1.0,1.03,0.02,0.0,0.0,-0.27
김도환,삼성,2021,C,0.067,113.2,0.66,0.989,0.05,-0.03,-0.31,-0.01,0.0
최영진,삼성,2018,1B,0.049,257.1,0.54,0.981,1.62,-0.04,0.0,0.0,0.0
김도환,삼성,2020,C,0.043,123.2,0.46,0.99,0.01,-0.02,0.03,-0.67,0.0
이성곤,삼성,2019,RF,0.037,40.0,0.35,1.0,-0.13,0.03,0.0,0.0,0.65
김민수,삼성,2018,C,0.035,14.1,0.38,1.0,0.0,0.02,0.16,0.07,0.0
송준석,삼성,2020,RF,0.028,76.0,0.3,1.0,0.78,0.05,0.0,0.0,-0.11
송준석,삼성,2018,LF,0.026,5.0,0.29,1.0,0.27,0.0,0.0,0.0,0.04
이병헌,삼성,2022,C,0.026,11.0,0.26,1.0,0.0,0.02,0.17,-0.02,0.0
김동진,삼성,2022,2B,0.024,7.0,0.23,1.0,0.2,0.02,0.0,0.0,0.0
이태훈,삼성,2022,1B,0.024,10.0,0.23,1.0,0.29,0.02,0.0,0.0,0.0
정병곤,삼성,2018,SS,0.024,42.0,0.25,1.0,-0.11,0.13,0.0,0.0,0.0
이성규,삼성,2022,1B,0.02,24.0,0.19,1.0,0.35,0.04,0.0,0.0,-0.01
김응민,삼성,2019,C,0.02,29.1,0.2,1.0,0.0,0.04,0.0,-0.08,0.0
김호재,삼성,2022,2B,0.019,67.0,0.18,0.947,0.41,-0.22,0.0,0.0,0.0
김재현,삼성,2019,2B,0.012,13.0,0.11,1.0,0.05,0.03,0.0,0.0,0.0
권정웅,삼성,2018,C,0.009,23.0,0.1,1.0,0.0,0.04,-0.19,0.04,0.0
김재현,삼성,2018,SS,0.007,4.0,0.08,1.0,0.05,0.01,0.0,0.0,0.0
강한울,삼성,2022,3B,0.005,498.1,0.05,0.952,-0.61,-0.31,0.0,0.0,0.0
권정웅,삼성,2021,C,0.004,3.0,0.04,1.0,-0.0,0.0,0.0,0.01,0.0
이성규,삼성,2019,SS,0.004,82.0,0.04,0.923,0.14,-0.36,0.0,0.0,0.0
양우현,삼성,2020,2B,0.004,55.0,0.04,0.897,0.41,-0.46,0.0,0.0,0.0
안주형,삼성,2021,2B,0.003,1.0,0.03,1.0,0.03,0.0,0.0,0.0,0.0
김영웅,삼성,2022,3B,0.002,35.0,0.02,0.889,0.01,-0.08,0.0,0.0,0.0
이성곤,삼성,2021,1B,0.001,5.0,0.01,1.0,0.05,0.01,0.0,0.0,0.0
김성훈,삼성,2019,2B,-0.001,192.2,-0.01,0.971,-0.53,-0.1,0.0,0.0,0.13
김호재,삼성,2019,SS,-0.001,79.0,-0.01,1.0,-0.46,0.22,0.0,0.0,0.0
송준석,삼성,2021,LF,-0.003,92.0,-0.03,1.0,0.72,0.04,0.0,0.0,-0.32
백승민,삼성,2021,1B,-0.003,5.0,-0.03,1.0,-0.0,0.01,0.0,0.0,0.0
손주인,삼성,2018,2B,-0.005,666.1,-0.05,0.985,-2.11,0.8,0.0,0.0,0.0
백상원,삼성,2018,2B,-0.008,13.0,-0.09,1.0,-0.15,0.03,0.0,0.0,0.0
김응민,삼성,2021,C,-0.009,7.0,-0.09,1.0,-0.0,0.01,-0.19,0.03,0.0
백승민,삼성,2020,1B,-0.01,23.0,-0.1,1.0,0.07,0.04,0.0,0.0,0.0
김성윤,삼성,2020,LF,-0.01,19.1,-0.11,1.0,0.15,0.01,0.0,0.0,-0.2
최영진,삼성,2022,3B,-0.012,155.0,-0.11,0.988,-0.02,0.2,0.0,0.0,0.0
김재혁,삼성,2022,LF,-0.013,82.1,-0.12,1.0,0.3,0.06,0.0,0.0,-0.11
이현동,삼성,2019,RF,-0.013,7.0,-0.12,0.667,0.21,-0.19,0.0,0.0,-0.11
권정웅,삼성,2020,C,-0.015,5.2,-0.16,1.0,-0.18,0.01,0.0,-0.04,0.0
김동엽,삼성,2022,LF,-0.016,45.0,-0.15,1.0,0.46,0.03,0.0,0.0,-0.42
공민규,삼성,2022,1B,-0.018,45.0,-0.17,0.947,0.32,-0.29,0.0,0.0,0.0
최원제,삼성,2018,1B,-0.018,18.0,-0.2,1.0,-0.06,0.03,0.0,0.0,0.0
안주형,삼성,2018,2B,-0.028,13.0,-0.31,0.833,-0.18,-0.16,0.0,0.0,0.0
김지찬,삼성,2022,2B,-0.029,833.1,-0.28,0.957,0.06,-2.05,0.0,0.0,0.0
김현준,삼성,2021,RF,-0.031,17.2,-0.31,1.0,-0.27,0.01,0.0,0.0,0.03
이학주,삼성,2019,SS,-0.037,938.1,-0.36,0.959,-4.16,-0.84,0.0,0.0,0.0
박한이,삼성,2019,RF,-0.041,64.1,-0.4,0.933,0.06,-0.15,0.0,0.0,0.01
조민성,삼성,2022,1B,-0.044,40.0,-0.43,0.972,0.0,-0.13,0.0,0.0,0.01
이재현,삼성,2022,SS,-0.05,566.1,-0.48,0.954,-2.51,-0.15,0.0,0.0,0.0
이성곤,삼성,2018,RF,-0.054,13.0,-0.6,1.0,-0.57,0.01,0.0,0.0,0.04
김성윤,삼성,2022,CF,-0.054,117.0,-0.53,0.963,-0.95,-0.12,0.0,0.0,0.62
백승민,삼성,2019,1B,-0.059,53.0,-0.56,0.984,-0.02,-0.11,0.0,0.0,0.0
김성표,삼성,2020,CF,-0.063,26.0,-0.67,1.0,-0.22,0.01,0.0,0.0,-0.43
김성표,삼성,2021,CF,-0.075,72.0,-0.75,0.944,-1.1,-0.17,0.0,0.0,0.43
김호재,삼성,2018,SS,-0.086,27.0,-0.96,0.714,-0.78,-0.32,0.0,0.0,0.0
김현준,삼성,2022,CF,-0.098,868.0,-0.95,0.988,-1.21,-0.02,0.0,0.0,-0.71
최영진,삼성,2020,3B,-0.098,245.2,-1.04,0.977,-0.51,0.01,0.0,0.0,-0.06
김동엽,삼성,2021,LF,-0.099,193.2,-0.98,0.976,-0.32,-0.11,0.0,0.0,0.44
김성표,삼성,2022,CF,-0.105,49.0,-1.01,1.0,-0.82,0.03,0.0,0.0,-0.29
이원석,삼성,2019,3B,-0.107,722.0,-1.04,0.929,-1.7,-0.54,0.0,0.0,0.0
김재현,삼성,2020,SS,-0.11,63.0,-1.17,0.964,-1.4,-0.02,0.0,0.0,0.0
최영진,삼성,2021,3B,-0.122,122.2,-1.23,1.0,-1.13,0.31,0.0,0.0,0.0
백승민,삼성,2018,1B,-0.125,64.0,-1.39,0.982,-0.68,-0.1,0.0,0.0,0.0
박한이,삼성,2018,RF,-0.14,284.0,-1.56,1.0,0.48,0.19,0.0,0.0,-0.59
이원석,삼성,2022,3B,-0.148,447.0,-1.43,0.975,-0.43,-0.05,0.0,0.0,0.0
김헌곤,삼성,2021,LF,-0.155,814.1,-1.56,0.995,-1.19,0.2,0.0,0.0,2.81
박계범,삼성,2019,SS,-0.161,415.1,-1.57,0.953,-2.38,-0.6,0.0,0.0,0.0
피렐라,삼성,2022,LF,-0.161,1031.1,-1.6,0.979,1.84,-0.33,0.0,0.0,2.16
김동엽,삼성,2020,LF,-0.163,231.0,-1.74,0.971,0.14,-0.27,0.0,0.0,-0.34
이학주,삼성,2021,SS,-0.167,401.2,-1.67,0.951,-3.07,-0.66,0.0,0.0,0.0
강한울,삼성,2020,SS,-0.175,243.1,-1.87,0.978,-3.26,0.32,0.0,0.0,0.0
오선진,삼성,2021,SS,-0.188,114.0,-1.88,0.957,-2.5,0.03,0.0,0.0,0.0
오선진,삼성,2022,3B,-0.196,639.1,-1.88,0.96,-3.56,0.03,0.0,0.0,0.0
공민규,삼성,2019,1B,-0.198,119.0,-1.93,0.979,-0.75,-0.19,0.0,0.0,0.0
김상수,삼성,2020,2B,-0.207,817.1,-2.22,0.985,-4.21,0.49,0.0,0.0,0.0
송준석,삼성,2022,RF,-0.207,61.0,-1.98,1.0,-1.57,0.05,0.0,0.0,-0.15
이성규,삼성,2020,1B,-0.217,539.1,-2.27,0.982,2.04,-0.6,0.0,0.0,-0.0
배영섭,삼성,2018,LF,-0.233,187.0,-2.59,0.973,-0.03,-0.05,0.0,0.0,-1.46
김호재,삼성,2021,1B,-0.235,213.0,-2.36,0.985,-1.86,0.15,0.0,0.0,0.0
김동엽,삼성,2019,LF,-0.244,130.1,-2.34,0.968,-0.69,-0.13,0.0,0.0,-0.87
이성곤,삼성,2020,1B,-0.246,165.2,-2.61,0.985,-2.04,-0.18,0.0,0.0,0.96
이원석,삼성,2021,3B,-0.25,870.0,-2.51,0.983,-4.24,1.55,0.0,0.0,0.0
송준석,삼성,2019,LF,-0.25,116.0,-2.42,0.973,-1.22,-0.13,0.0,0.0,-0.58
이해승,삼성,2022,SS,-0.255,261.1,-2.44,0.931,-2.87,-0.78,0.0,0.0,0.0
박찬도,삼성,2019,RF,-0.255,92.2,-2.48,1.0,-1.35,0.07,0.0,0.0,-0.8
박찬도,삼성,2018,RF,-0.258,196.2,-2.88,1.0,-2.99,0.12,0.0,0.0,0.81
구자욱,삼성,2019,RF,-0.282,870.1,-2.73,0.991,-0.31,0.29,0.0,0.0,1.62
김성윤,삼성,2021,RF,-0.287,51.2,-2.89,0.846,-2.02,-0.37,0.0,0.0,-0.36
박계범,삼성,2020,SS,-0.292,401.1,-3.06,0.957,-4.34,-0.19,0.0,0.0,0.0
강한울,삼성,2021,3B,-0.293,550.2,-2.94,0.951,-4.23,-0.04,0.0,0.0,0.0
