이름,구단,연도,포지션,WAAwithADJ,이닝,RAAwithADJ,수비율,RNG,E+,CS,BLK,ARM
한동희,롯데,2021,3B,-0.065,1004.2,-0.66,0.955,-2.62,0.31,0.0,0.0,0.0
장두성,롯데,2022,CF,-0.066,93.1,-0.63,1.0,-0.0,0.06,0.0,0.0,-0.84
강태율,롯데,2021,C,-0.067,79.2,-0.67,0.94,-0.6,-0.68,-0.05,-0.01,0.0
윤동희,롯데,2022,1B,-0.084,28.0,-0.8,0.971,-0.43,-0.15,0.0,0.0,0.0
허일,롯데,2018,RF,-0.085,17.0,-0.95,1.0,-0.77,0.01,0.0,0.0,-0.09
조세진,롯데,2022,RF,-0.085,192.1,-0.8,0.975,-0.44,-0.05,0.0,0.0,0.62
고승민,롯데,2019,2B,-0.086,185.0,-0.83,0.983,-1.16,0.02,0.0,0.0,0.0
황진수,롯데,2018,3B,-0.086,53.0,-0.96,0.875,-0.59,-0.45,0.0,0.0,0.0
이대호,롯데,2021,1B,-0.09,119.1,-0.91,0.983,0.28,-0.18,0.0,0.0,0.0
김민수,롯데,2019,3B,-0.099,89.0,-0.95,0.957,-1.16,0.05,0.0,0.0,0.0
한동희,롯데,2019,3B,-0.113,401.0,-1.08,0.945,-0.49,-0.72,0.0,0.0,0.0
김민수,롯데,2022,3B,-0.126,337.1,-1.21,0.977,-0.82,-0.11,0.0,0.0,0.0
김민수,롯데,2021,2B,-0.128,471.0,-1.28,0.989,-1.83,0.66,0.0,0.0,0.0
나승엽,롯데,2021,1B,-0.128,231.1,-1.28,0.963,-0.0,-0.43,0.0,0.0,0.0
허일,롯데,2020,LF,-0.138,154.0,-1.45,1.0,0.1,0.09,0.0,0.0,-0.9
이대호,롯데,2019,1B,-0.139,147.2,-1.36,0.994,-0.19,0.06,0.0,0.0,0.0
신본기,롯데,2018,SS,-0.155,1059.1,-1.73,0.954,-4.95,-0.82,0.0,0.0,0.0
전병우,롯데,2019,1B,-0.161,100.2,-1.53,0.975,-0.9,-0.19,0.0,0.0,0.0
민병헌,롯데,2018,CF,-0.189,928.2,-2.12,0.995,-2.04,0.31,0.0,0.0,-0.97
이호연,롯데,2022,3B,-0.19,483.1,-1.82,0.986,-1.7,0.48,0.0,0.0,0.0
장두성,롯데,2021,CF,-0.193,114.0,-1.94,0.941,-2.28,-0.14,0.0,0.0,0.38
민병헌,롯데,2019,CF,-0.198,799.0,-1.94,0.99,-3.59,0.1,0.0,0.0,0.35
오윤석,롯데,2021,2B,-0.21,148.2,-2.12,0.983,-1.34,-0.08,0.0,0.0,0.0
추재현,롯데,2022,RF,-0.215,136.0,-2.07,0.967,-1.28,-0.08,0.0,0.0,-0.0
배성근,롯데,2019,2B,-0.234,112.1,-2.27,0.942,-2.21,-0.31,0.0,0.0,0.0
이대호,롯데,2020,1B,-0.254,443.1,-2.69,0.996,1.04,0.3,0.0,0.0,0.0
