이름,구단,연도,포지션,WAR*,타율,OPS,wRC+,WPA,타점율,삼진율,볼삼비,순도루성공,병살율
신민재,LG,20,CF,0.2,0.308,0.746,97.2,-0.13,0.192307692,0.153846154,0.975609756,6,0.0384615385
양석환,LG,20,3B,0.18,0.246,0.68,82.6,-0.75,0.110169492,0.211864407,0.398406375,0,0.00847457627
한석현,LG,21,LF,0.16,0.286,0.861,133.6,-0.15,0.0476190476,0.333333333,0.422535211,2,0.0476190476
이상호,LG,21,2B,0.11,0.308,0.657,75.4,0.01,0.184615385,0.153846154,0.099009901,1,0.0307692308
전민수,LG,19,,0.08,0.242,0.624,74.1,-0.03,0.0842105263,0.189473684,0.497237569,1,0.0421052632
박지규,LG,19,2B,0.06,0.091,0.503,77.9,0.11,0.0909090909,0.636363636,0.563380282,0,0
정주현,LG,20,2B,0.04,0.247,0.651,71.1,-0.59,0.0914634146,0.192073171,0.459587956,1,0.0182926829
이천웅,LG,21,CF,0.03,0.199,0.576,65.2,-0.82,0.0883977901,0.127071823,1.082251082,1,0.0607734807
이형종,LG,22,DH,0.03,0.264,0.643,80.5,0.27,0.132075472,0.188679245,0.495049505,0,0
홍창기,LG,19,CF,0.02,0.217,0.584,63,-0.07,0,0.52173913,0.0826446281,2,0.0434782609
정주현,LG,19,2B,0.01,0.231,0.6,60.1,-0.98,0.0718085106,0.242021277,0.340285401,9,0.0265957447
김호은,LG,20,1B,0,0.243,0.653,77.5,0.74,0.106796117,0.13592233,0.496453901,0,0.0194174757
장준원,LG,20,3B,0,0.217,0.6,58.5,-0.04,0.1,0.116666667,0.845070423,0,0.0333333333
이성우,LG,20,C,0,0.234,0.653,64.4,-0.28,0.142857143,0.181818182,0.425531915,0,0.038961039
신민재,LG,19,2B,-0.01,0.238,0.601,72.2,-0.18,0.0625,0.2125,0.467836257,2,0
박재욱,LG,20,C,-0.01,0.267,0.579,49.2,-0.22,0.0666666667,0.266666667,0,0,0.133333333
김민성,LG,22,3B,-0.02,0.207,0.573,61.8,-0.07,0.142857143,0.192857143,0.36900369,-1,0.0285714286
류형우,LG,19,1B,-0.04,0.182,0.432,21,0.03,0.0909090909,0.272727273,0.322580645,0,0.0909090909
이천웅,LG,22,,-0.04,0.2,0.504,52.1,-0.01,0,0.15,0.967741935,0,0
서상우,LG,19,DH,-0.04,0.238,0.619,79.6,-0.22,0.0476190476,0.380952381,0.37037037,0,0.0476190476
홍창기,LG,18,LF,-0.05,0.167,0.678,96.1,-0.02,0,0.444444444,0.864197531,-1,0
정상호,LG,18,C,-0.05,0.223,0.59,50.4,-1.22,0.0803571429,0.3125,0.227920228,-1,0.0267857143
김용의,LG,20,1B,-0.05,0.271,0.654,69.6,0.06,0.171428571,0.214285714,0.198675497,4,0.0285714286
신민재,LG,21,2B,-0.06,0.13,0.39,17.1,-0.32,0.0869565217,0.260869565,0.655737705,1,0
이상호,LG,22,2B,-0.06,0.25,0.577,59.5,-0.24,0.0694444444,0.0833333333,0.655737705,-1,0.0138888889
김용의,LG,21,1B,-0.07,0.148,0.574,57.4,0.36,0.0740740741,0.185185185,1.764705882,6,0.037037037
손호영,LG,21,SS,-0.07,0.1,0.35,11,0.01,0,0.2,0.476190476,0,0
이영빈,LG,22,2B,-0.08,0.184,0.516,48,-0.73,0.0657894737,0.328947368,0.278884462,0,0.0394736842
김재율,LG,18,1B,-0.09,0.222,0.623,64,-0.1,0.0833333333,0.25,0.32967033,0,0.0277777778
안익훈,LG,21,CF,-0.09,0.143,0.464,35.3,-0.09,0.0714285714,0.142857143,0,0,0.0714285714
백승현,LG,20,3B,-0.09,0.25,0.649,54.4,-0.17,0.0714285714,0.285714286,0.49382716,0,0
정근우,LG,20,2B,-0.1,0.24,0.608,64.4,0.1,0.0909090909,0.149350649,0.735930736,5,0.025974026
문성주,LG,21,LF,-0.13,0.228,0.582,65.3,-0.68,0.126582278,0.189873418,0.463576159,0,0.0126582278
한석현,LG,22,RF,-0.14,0.222,0.444,4.8,-0.21,0,0.333333333,0,-1,0
김용의,LG,19,1B,-0.18,0.218,0.595,65.1,-0.35,0.094972067,0.212290503,0.62992126,5,0.00558659218
이주형,LG,21,1B,-0.18,0.125,0.347,-6.5,-0.5,0,0.4375,0.14084507,1,0
이성우,LG,21,C,-0.23,0.212,0.447,-0.1,-0.29,0.0606060606,0.242424242,0.12345679,0,0.0303030303
김재성,LG,21,C,-0.23,0.138,0.455,18.1,-0.74,0.0461538462,0.2,0.381679389,1,0.0307692308
백승현,LG,19,3B,-0.23,0.167,0.367,-11.5,-0.59,0,0.333333333,0,1,0.0333333333
루이즈,LG,22,3B,-0.25,0.155,0.496,39.5,-0.9,0.0714285714,0.154761905,0.687022901,1,0.0595238095
윤대영,LG,18,1B,-0.28,0.217,0.478,10.7,-0.04,0.130434783,0.391304348,0,0,0
구본혁,LG,21,SS,-0.28,0.132,0.389,0.9,-0.19,0.0789473684,0.184210526,0.422535211,0,0
구본혁,LG,19,3B,-0.28,0.176,0.468,29,-0.53,0.0705882353,0.2,0.350877193,1,0
윤진호,LG,18,2B,-0.31,0.208,0.527,22,-0.81,0.0754716981,0.264150943,0.141843972,-1,0.0377358491
임훈,LG,18,LF,-0.32,0.229,0.593,41.5,-0.44,0.0843373494,0.180722892,0.198675497,0,0.0361445783
이성우,LG,19,C,-0.33,0.156,0.443,18.9,-0.26,0.09375,0.171875,0.36036036,0,0.03125
정상호,LG,19,C,-0.33,0.083,0.208,-62.6,-0.21,0.0833333333,0.458333333,0,0,0.125
이재원,LG,20,RF,-0.37,0.05,0.186,-53.6,-0.24,0,0.55,0.18018018,0,0
박지규,LG,18,2B,-0.37,0.17,0.492,11,-0.38,0.106382979,0.361702128,0.175438596,2,0.0425531915
구본혁,LG,20,3B,-0.42,0.163,0.463,19.9,-0.22,0.0813953488,0.209302326,0.386740331,0,0.023255814
보어,LG,21,1B,-0.43,0.17,0.545,52.8,-0.23,0.17,0.3,0.365448505,0,0.02
