이름,구단,연도,WAR,승리기여율,이닝,볼삼비,삼진율,ERA,ERA+,FIP,FIP+,WHIP,WPA
원종현,NC,2022,2.02,0.2058823529411764,63.1,2.923976608187134,0.7923930269413629,2.98,136.5,3.64,112.8,1.14,0.11
라이트,NC,2020,2.01,0.3793103448275862,157.2,1.9809825673534072,0.7951653944020357,4.68,104.4,4.35,111.0,1.44,-1.57
김시훈,NC,2022,1.88,0.2115384615384615,83.1,1.8329466357308584,0.950661853188929,3.24,125.7,4.23,97.2,1.42,0.44
김영규,NC,2022,1.84,0.1944444444444444,66.0,2.0814479638009047,0.696969696969697,3.41,119.5,4.07,101.0,1.18,0.03
이용찬,NC,2021,1.71,0.4871794871794871,37.0,3.1531531531531534,0.945945945945946,2.19,207.4,2.87,156.6,1.03,0.12
이재학,NC,2019,1.7,0.4347826086956521,129.2,2.111368909512761,0.7043343653250774,3.82,110.4,3.8,110.9,1.36,0.29
구창모,NC,2018,1.63,0.217391304347826,133.0,2.2264875239923225,0.8721804511278195,5.35,97.1,5.47,96.1,1.58,-1.07
김진성,NC,2020,1.46,0.125,47.1,5.544554455445545,1.18895966029724,2.66,183.5,2.86,169.7,1.08,1.13
최성영,NC,2019,1.45,0.2666666666666666,82.1,1.288981288981289,0.7551766138855055,3.94,107.1,4.27,98.9,1.54,-0.01
홍성민,NC,2020,1.39,0.2666666666666666,26.0,2.295081967213115,0.5384615384615384,1.04,470.5,4.29,112.6,1.0,1.38
김태경,NC,2022,1.26,0.1111111111111111,44.1,1.4691943127962084,0.7029478458049886,3.25,125.4,4.87,84.3,1.29,0.43
류진욱,NC,2021,1.15,0.1818181818181818,43.1,1.4027149321266967,0.7192575406032482,2.08,218.6,4.03,111.9,1.43,0.55
원종현,NC,2020,1.09,0.5172413793103449,57.0,2.0398009950248754,0.7192982456140351,4.26,114.6,4.13,116.7,1.33,0.6
파슨스,NC,2022,1.04,0.125,43.0,2.037914691943128,1.0,3.56,114.5,4.08,100.7,1.28,0.12
홍성민,NC,2021,0.95,0.2641509433962264,41.1,2.1487603305785123,0.6326034063260341,3.92,115.8,3.96,113.7,1.57,-0.06
원종현,NC,2021,0.91,0.3278688524590163,53.0,1.948051948051948,0.8490566037735849,4.25,107.0,4.22,107.0,1.7,-1.58
원종현,NC,2018,0.88,0.3220338983050847,64.1,1.6289592760180995,0.561622464898596,5.18,100.3,5.2,101.0,1.55,-1.21
배재환,NC,2020,0.87,0.2264150943396226,43.0,0.9401709401709402,0.7674418604651163,3.98,122.9,6.09,79.3,1.7,-1.88
